id,name,description,latitude,longitude,city,region,category,activities,estimated_cost,avg_duration_hours,mood_tags,rating
11,Sacred Rock of Hunza,Ancient rock carvings and petroglyphs near Ganish village dating back thousands of years.,36.31245,74.6863,Karimabad,Gilgit-Baltistan,Archaeological Site,Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; cultural; educational; spiritual,4.9
12,Ultar Meadows,A high-altitude meadow at the base of Ultar Sar peak accessible via a challenging trek from Karimabad.,36.353802,74.677959,Karimabad,Gilgit-Baltistan,Meadow,Trekking; Hiking; Camping; Photography; Picnicking; Stargazing,500 PKR,5,friends; solo; adventurous; peaceful,4.6
13,Lady Finger Peak Viewpoint,Viewpoint for the iconic 6000m Lady Finger Peak (Bublimotin) visible from multiple spots in Hunza.,36.327056,74.659336,Karimabad,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,solo; peaceful; romantic,4.6
14,Rakaposhi Viewpoint (Zero Point),A roadside viewpoint on KKH offering direct views of the 7788m Rakaposhi peak.,36.26667,74.68333,Hunza,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,solo; peaceful; romantic,4.9
15,Duikar Village,A small hamlet above Karimabad famous for its sunrise viewpoint and traditional Hunza architecture.,36.327056,74.659336,Karimabad,Gilgit-Baltistan,Village,Photography; Sunrise Viewing; Cultural Tours; Village Walks,0 PKR,1.5,couple; solo; peaceful; romantic; meditative,4.6
16,Gulmit Village,"A historic village in Upper Hunza known for its traditional houses, museum, and weaving center.",36.387894,74.862464,Gulmit,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks; Museum Visit; Handicraft Shopping,0 PKR,2,family; couple; peaceful; cultural; educational,4.8
17,Gulmit Heritage Museum,"A cultural museum in Gulmit showcasing traditional artifacts, costumes, and tools of the Wakhi people.",36.387894,74.862464,Gulmit,Gilgit-Baltistan,Museum,Photography; Sightseeing; Museum Visit,200 PKR,1.5,family; couple; cultural; educational,4.8
18,Ondra Fort,Ruins of an ancient watchtower fort in Gulmit with views over the Hunza River valley.,0.000000,0.000000,Gulmit,Gilgit-Baltistan,Fort,Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; cultural; educational,5.0
19,Passu Glacier,A massive glacier near Passu village accessible by a moderate trek offering stunning ice formations.,36.464367,74.744100,Passu,Gilgit-Baltistan,Glacier,Trekking; Photography; Ice Hiking,2000 PKR,4,friends; solo; adventurous; energetic,4.5
20,Gulkin Glacier,An accessible glacier near Gulkin village where you can walk on the ice and see meltwater streams.,36.406436,74.862323,Gulkin,Gilgit-Baltistan,Glacier,Trekking; Photography; Ice Hiking; Walking,2000 PKR,4,friends; solo; adventurous; energetic,4.8
21,Gulkin Village,A small Wakhi village offering homestay experiences with views of Passu Cones and surrounding glaciers.,36.406436,74.862323,Gulkin,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks; Homestay Experience,0 PKR,2,peaceful; cultural; educational,4.8
22,Hopper Glacier,A long valley glacier near Hopper village known for its dramatic ice walls and trekking opportunities.,36.22742,74.7549,Hunza,Gilgit-Baltistan,Glacier,Trekking; Photography; Ice Hiking,2000 PKR,4,friends; solo; adventurous; energetic,4.3
23,Hopper Valley,"A scenic side valley of Hunza with terraced fields, orchards and views of Hopper Glacier.",36.26667,74.68333,Hunza,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks; Walking,0 PKR,5,friends; relaxed; peaceful,4.9
24,Aliabad Bazaar,"The commercial hub of Central Hunza with shops, restaurants, and local markets.",36.315409,74.625353,Aliabad,Gilgit-Baltistan,Market,Shopping; Food Tasting,500 PKR,1.5,family; friends; laid-back,4.1
25,Hunza River Viewpoint,Multiple viewpoints along the KKH offering views of the turquoise Hunza River cutting through gorges.,36.299319,74.613428,Hunza,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,family; couple; solo; peaceful; romantic,4.9
26,Khunjerab Pass,The highest paved international border crossing in the world at 4693m on the Pakistan-China border.,36.850000,75.427800,Hunza,Gilgit-Baltistan,Pass,Photography; Sightseeing; Jeep Safari,3000 PKR,2,family; friends; couple; adventurous,4.5
27,Khunjerab National Park,"A high-altitude national park home to Marco Polo sheep, ibex, and snow leopards along the Chinese border.",36.850525,75.431850,Hunza,Gilgit-Baltistan,Park,Photography; Sightseeing; Jeep Safari; Wildlife Watching,3000 PKR,4,family; friends; adventurous; peaceful,4.4
28,Misgar Village,"The last Pakistani village before the Chinese border, a remote settlement with stunning mountain views.",36.787481,74.768231,Hunza,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; solo; peaceful; cultural; educational,4.2
29,Sost Border Town,The last major town before Khunjerab Pass serving as the customs checkpoint for Pakistan-China trade.,36.71074,74.81991,Sost,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,4.8
30,Karimabad Cherry Blossom Road,"A scenic road through Karimabad lined with cherry and apricot blossom trees, stunning during spring season.",36.31899,74.66427,Karimabad,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,family; couple; solo; peaceful; romantic,4.6
31,Hoper Nagar Viewpoint,A viewpoint offering dramatic views of the Hoper Valley and Golden Peak (Spantik).,36.26667,74.68333,Hunza,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,solo; relaxed; peaceful; romantic; cultural; educational,4.9
32,Diran Base Camp Trail,Trekking trail leading to the base of 7266m Diran Peak through alpine meadows.,36.26667,74.68333,Hunza,Gilgit-Baltistan,Adventure Spot,Trekking; Camping; Photography,1000 PKR,8,friends; solo; adventurous; energetic,4.9
33,Spantik Base Camp Trail,Multi-day trekking route to the base of the 7027m Golden Peak through Nagar Valley.,36.056905,74.964287,Nagar,Gilgit-Baltistan,Adventure Spot,Trekking; Camping; Photography,1500 PKR,10,solo; friends; adventurous; energetic,4.8
34,Batura Glacier,One of the longest glaciers outside the polar regions stretching over 56km in Upper Hunza.,36.505497,74.853970,Passu,Gilgit-Baltistan,Glacier,Trekking; Photography; Ice Hiking,2000 PKR,5,friends; solo; adventurous; energetic,4.5
35,Batura Wall Viewpoint,A viewpoint near Passu offering views of the massive Batura glacier and its surrounding peaks.,36.465816,74.894326,Passu,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,solo; peaceful; romantic,4.8
36,Shishkat Village,A picturesque village between Gulmit and Passu known for its terraced farms and apricot orchards.,36.354833,74.864253,Hunza,Gilgit-Baltistan,Village,Photography; Walking; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,4.9
37,Zarabad Hot Spring,A natural hot spring near Passu used by locals for therapeutic bathing.,36.465816,74.894326,Passu,Gilgit-Baltistan,Hot Spring,Photography; Hot Spring Bathing; Relaxation,300 PKR,1.5,family; couple; relaxed; peaceful,4.8
38,Jamal Abad Garden,A beautiful terraced garden in Karimabad with fruit trees and panoramic mountain views.,36.327056,74.659336,Karimabad,Gilgit-Baltistan,Park,Photography; Walking; Picnicking,30 PKR,3,family; couple; friends; relaxed; peaceful; romantic,4.6
39,Hunza Nagar Rock Carvings,Ancient petroglyphs and rock inscriptions found at various sites along the Karakoram Highway near Hunza.,36.49721,75.00414,Hunza,Gilgit-Baltistan,Archaeological Site,Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; cultural; educational,5.0
40,Tupopdan Viewpoint,A popular photography spot to capture the cathedral-like spires of the Tupopdan peaks above Passu.,36.465816,74.894326,Passu,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,solo; peaceful; romantic,4.8
41,Ghulmet Village,A traditional village in upper Hunza known for organic farming and spectacular mountain scenery.,36.351932,73.83021,Hunza,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,4.2
42,Hassanabad Glacier,A retreating glacier near Aliabad that created a temporary lake and remains a geological attraction.,36.305981,74.616672,Aliabad,Gilgit-Baltistan,Glacier,Trekking; Photography; Ice Hiking,2000 PKR,4,friends; solo; adventurous; energetic,4.5
43,Karimabad Polo Ground,A traditional polo ground in Karimabad where locals play the ancient sport with stunning mountain backdrops.,36.327056,74.659336,Karimabad,Gilgit-Baltistan,Adventure Spot,Photography; Polo Watching,0 PKR,2.5,family; friends; adventurous; thrilling; energetic; cultural; educational,4.6
44,Hyderabad Village (Hunza),A small village near Aliabad known for its old watchtowers and terraced apricot orchards.,25.46189,68.713571,Hunza,Gilgit-Baltistan,Village,Photography; Walking; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,3.3
45,Murtazabad Hot Spring,Natural geothermal springs near Murtazabad village used for relaxation and traditional healing.,36.28121,74.60518,Hunza,Gilgit-Baltistan,Hot Spring,Photography; Hot Spring Bathing; Relaxation,300 PKR,1.5,family; couple; relaxed; peaceful,4.9
46,Nagar Khas Village,The old capital of the Nagar kingdom with traditional stone houses and historical ruins.,36.27542,74.71959,Nagar,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,4.3
47,Minapin Glacier,A dramatic glacier near Minapin village in Nagar offering accessible ice hiking experiences.,36.178427,74.596731,Nagar,Gilgit-Baltistan,Glacier,Trekking; Hiking; Photography; Ice Hiking,2000 PKR,4,friends; solo; adventurous; energetic,4.5
48,Minapin Village,A small Nagar village serving as the base for treks to Rakaposhi Base Camp and Minapin Glacier.,36.178427,74.596731,Nagar,Gilgit-Baltistan,Village,Trekking; Camping; Photography; Cultural Tours; Village Walks,500 PKR,10,family; couple; peaceful; cultural,4.3
49,Rakaposhi Base Camp,"A popular trekking destination at the foot of the 7788m Rakaposhi, the 27th highest peak in the world.",36.198488,74.554285,Nagar,Gilgit-Baltistan,Adventure Spot,Trekking; Mountaineering; Camping; Photography,3000 PKR,10,friends; solo; adventurous; energetic,4.5
50,Hispar Village,"A remote village at the entrance of the Hispar Glacier, gateway to the Snow Lake trek.",36.10572,75.23341,Nagar,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,solo; adventurous; energetic; relaxed; peaceful; romantic; cultural; educational,4.3
51,Hispar Glacier,A major glacier in Nagar Valley that connects to the Biafo Glacier forming the longest glacial system outside polar regions.,36.04957,75.23098,Nagar,Gilgit-Baltistan,Glacier,Trekking; Photography; Ice Hiking,2000 PKR,6,solo; friends; adventurous; energetic,4.5
52,Rush Lake,"One of the highest lakes in the world at 4694m, accessible via a challenging trek from Nagar.",36.173444,74.882757,Nagar,Gilgit-Baltistan,Lake,Trekking; Camping; Photography,1500 PKR,12,solo; friends; adventurous; peaceful,4.3
53,Askurdas Village,A hamlet in Nagar valley known for its cherry blossoms in spring and isolation from tourist crowds.,36.351932,73.83021,Nagar,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,4.3
54,Ghulkin Glacier Viewpoint,An elevated viewpoint offering panoramic views of Ghulkin Glacier flowing down to the valley floor.,36.416218,74.881497,Gulkin,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,solo; peaceful; romantic,4.6
55,Chipursan Valley,A remote valley near the Afghan and Chinese borders with untouched natural beauty and Wakhi culture.,36.26667,74.68333,Hunza,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; solo; relaxed; peaceful,4.9
56,Zood Khun Village,A remote Wakhi village in Chipursan Valley known for its hot springs and pristine landscapes.,36.829176,74.427988,Hunza,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; solo; peaceful; cultural; educational,4.2
57,Chapursan Hot Spring,Natural hot water springs in the remote Chipursan Valley offering a serene bathing experience.,36.687152,74.82162,Hunza,Gilgit-Baltistan,Hot Spring,Photography; Hot Spring Bathing; Relaxation,300 PKR,1.5,family; couple; relaxed; peaceful,4.4
58,Irshad Uwin Pass,A high mountain pass connecting Chipursan Valley with the Wakhan Corridor offering spectacular views.,36.877904,74.142179,Hunza,Gilgit-Baltistan,Pass,Photography; Sightseeing,0 PKR,1.5,family; couple; friends; adventurous; peaceful,4.5
59,Yazghil Glacier,A large glacier in the Shimshal Valley known for its stunning blue ice formations.,36.33715,75.34241,Shimshal,Gilgit-Baltistan,Glacier,Trekking; Photography; Ice Hiking,2000 PKR,4,friends; solo; adventurous; energetic,4.7
60,Shimshal Village,The highest and most remote village in Hunza known for yak herding and mountaineering culture.,36.438306,75.328541,Shimshal,Gilgit-Baltistan,Village,Mountaineering; Photography; Cultural Tours; Village Walks,2000 PKR,6,solo; friends; adventurous; cultural; peaceful,4.4
61,Shimshal Pass,A high altitude pass at 4735m connecting Shimshal village with the Pamir region.,36.438306,75.328541,Shimshal,Gilgit-Baltistan,Pass,Photography; Sightseeing,0 PKR,1.5,family; couple; friends; adventurous; peaceful,4.5
62,Shimshal Lake (Shuwert),A high-altitude lake near Shimshal village accessible via a multi-day trek through stunning landscapes.,36.4492,75.31116,Shimshal,Gilgit-Baltistan,Lake,Trekking; Photography; Sightseeing; Picnicking,0 PKR,24,family; couple; friends; adventurous; energetic; relaxed; peaceful,4.7
63,Minglik Sar Viewpoint,Viewpoint for the 7050m Minglik Sar peak visible from Shimshal Valley.,36.437497,75.316678,Shimshal,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,solo; peaceful; romantic,4.7
64,Karakoram Highway Viewpoint (KKH),"Multiple scenic stops along the famous KKH offering views of gorges, rivers, and peaks.",36.26667,74.68333,Hunza,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,solo; peaceful; romantic,4.9
65,Atta Abad Lake Boat Ride,Boat cruise on the turquoise Attabad Lake with views of submerged village remnants and mountains.,36.332,74.85,Hunza,Gilgit-Baltistan,Adventure Spot,Photography; Sightseeing; Boating,1500 PKR,2.5,family; friends; adventurous; thrilling; energetic; relaxed; romantic,4.6
66,Hunza Valley Sunset Point,A popular spot near Eagles Nest to watch the sunset paint the Karakoram peaks golden.,36.31899,74.66427,Karimabad,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing; Sunset Viewing,0 PKR,1,solo; peaceful; romantic; cultural; educational,4.9
67,Mominabad Viewpoint,An elevated viewpoint in Mominabad offering 360-degree views of central Hunza Valley.,36.327056,74.659336,Karimabad,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,family; couple; solo; peaceful; romantic,4.6
68,Nagar Valley Panorama Point,A scenic overlook offering sweeping views across the entire Nagar Valley and its glaciers.,35.982838,74.920822,Nagar,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,solo; peaceful; romantic,4.7
69,Chalt Village,A historic village at the confluence of the Hunza and Chaprot rivers with ancient watchtowers.,36.351932,73.83021,Hunza,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,4.2
70,Chaprot Valley,A lesser-known valley near Chalt with walnut forests and hot springs.,36.26534,74.28555,Hunza,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; relaxed; peaceful; meditative,4.6
71,Nomal Valley,A peaceful side valley near Gilgit known for its terraced farms and fruit orchards.,35.925318,74.359912,Gilgit,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks; Walking,0 PKR,5,family; couple; friends; relaxed; peaceful,5.0
72,Rakaposhi Zero Point Camp,A designated camping area at the base approach to Rakaposhi offering tent camping under the stars.,36.198488,74.554285,Nagar,Gilgit-Baltistan,Camping Site,Hiking; Camping; Photography; Stargazing,500 PKR,4,family; friends; adventurous; relaxed; peaceful; romantic; meditative,4.5
73,Shishpar Glacier,"A surging glacier in Hassanabad that created a temporary lake, a dramatic geological site.",36.29,74.61,Hunza,Gilgit-Baltistan,Glacier,Trekking; Photography; Ice Hiking,2000 PKR,4,friends; solo; adventurous; energetic,4.9
74,Golden Peak (Spantik) Viewpoint,Viewpoint for the stunning 7027m pyramid-shaped Golden Peak visible from Nagar.,36.056905,74.964287,Nagar,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,solo; relaxed; peaceful; romantic; cultural; educational,4.0
75,Sumayar Village,"A Nagar village known for its gemstone mines, ruby deposits, and traditional stone architecture.",36.305369,74.654656,Nagar,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,4.3
76,Sumayar Nagar Heritage Walk,A walking trail through the old village of Sumayar showcasing centuries-old Nagar architecture.,35.982838,74.920822,Nagar,Gilgit-Baltistan,Historical Site,Photography; Sightseeing; Walking; History Tours,0 PKR,1.5,family; couple; cultural; educational,4.3
77,Wolf's Den Campsite (Hunza),A scenic camping spot above Karimabad with dramatic views of the valley and peaks.,36.327056,74.659336,Karimabad,Gilgit-Baltistan,Camping Site,Hiking; Camping; Photography; Stargazing,500 PKR,4,friends; adventurous; relaxed; peaceful; romantic; meditative,4.9
78,Old Silk Route Trail (Hunza),Historical trading path through Hunza Valley once used by Silk Road merchants and caravans.,36.31899,74.66427,Karimabad,Gilgit-Baltistan,Historical Site,Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; cultural; educational,4.9
79,Karimabad Apple Orchard Walk,A leisurely walk through terraced apple and apricot orchards above Karimabad town.,36.31899,74.66427,Karimabad,Gilgit-Baltistan,Park,Photography; Walking; Picnicking,0 PKR,3,family; couple; friends; relaxed; peaceful,4.6
80,Hussainabad Waterfall,A seasonal waterfall in Hussainabad area of Hunza surrounded by green terraces.,36.24901,74.39187,Hunza,Gilgit-Baltistan,Waterfall,Hiking; Photography; Sightseeing,0 PKR,1,family; couple; friends; peaceful; romantic,4.5
81,Gojal Valley Entrance,The gateway to Upper Hunza offering first views of the dramatic Gojal landscape.,36.26667,74.68333,Hunza,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,family; couple; solo; peaceful; romantic,4.9
82,Danyore Buddha Rock,Ancient Buddhist rock carvings near the entrance to Hunza Valley dating to the Kushan period.,35.92081,74.314044,Gilgit,Gilgit-Baltistan,Archaeological Site,Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; cultural; educational,5.0
83,Karakoram International University Campus,"The scenic campus of KIU in Gilgit set against mountain backdrops, sometimes visited for its views.",35.92527,74.365023,Gilgit,Gilgit-Baltistan,Historical Site,Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; cultural; educational,5.0
84,Nilt Fort Ruins,Remnants of the historic fort where a famous battle occurred between British forces and Hunza-Nagar warriors in 1891.,32.719024,72.995633,Hunza,Gilgit-Baltistan,Fort,Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; cultural; educational,4.3
85,Ultar Sar Base Camp,High-altitude base camp for the 7388m Ultar Sar peak with views of seracs and ice walls.,36.327056,74.659336,Karimabad,Gilgit-Baltistan,Adventure Spot,Camping; Photography,2000 PKR,10,solo; friends; adventurous; energetic,4.6
86,Hunza Cultural Center,"A cultural center in Karimabad showcasing Burushaski language, traditional music, and Hunza heritage.",36.323546,74.669702,Karimabad,Gilgit-Baltistan,Cultural Site,Skiing; Photography; Sightseeing; Cultural Tours,200 PKR,1.5,family; couple; cultural; educational,4.6
87,Apricot Drying Rooftops,"Traditional rooftops in Hunza villages where apricots are sun-dried, an iconic cultural scene.",36.327056,74.659336,Karimabad,Gilgit-Baltistan,Cultural Site,Photography; Sightseeing; Cultural Tours,0 PKR,1.5,family; couple; cultural; educational,4.6
88,Aliabad Polo Ground,A local polo ground in Aliabad where traditional free-style polo matches are held.,36.311832,74.617946,Aliabad,Gilgit-Baltistan,Adventure Spot,Photography; Polo Watching,0 PKR,2.5,family; friends; adventurous; thrilling; energetic,4.7
89,Haldi Viewpoint,A newly developed viewpoint above Hunza offering panoramic mountain and valley vistas.,36.327056,74.659336,Karimabad,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,family; couple; solo; peaceful; romantic,4.6
90,Gircha Village,A remote border village in Upper Hunza with unique Wakhi culture and mountain scenery.,36.646933,74.847682,Hunza,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; solo; peaceful; cultural; educational,4.2
91,Killik Pass Trailhead,Starting point for treks toward the Killik Pass connecting Pakistan to the Wakhan Corridor.,36.26667,74.68333,Hunza,Gilgit-Baltistan,Adventure Spot,Trekking; Photography,0 PKR,2.5,family; friends; adventurous; thrilling; energetic,4.9
92,Altit Garden,A restored traditional garden below Altit Fort with heritage fruit trees and flowing water channels.,36.327056,74.659336,Karimabad,Gilgit-Baltistan,Park,Photography; Walking; Picnicking,30 PKR,3,family; couple; friends; relaxed; peaceful; cultural; educational,4.5
93,Hunza Valley Paragliding Spot,A paragliding launch site above Hunza offering tandem flights over the valley.,36.30543,74.62903,Karimabad,Gilgit-Baltistan,Adventure Spot,Photography; Sightseeing; Paragliding,8000 PKR,2.5,family; friends; adventurous; thrilling; energetic,4.9
94,KKH China Point,The symbolic marker on the Karakoram Highway indicating the direction and distance to China.,24.793623,66.996623,Hunza,Gilgit-Baltistan,Historical Site,Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; cultural; educational,4.3
95,Shanoz Camping Ground,A campsite between Passu and Sost with views of the Batura and Passu glaciers.,36.48113,72.65519,Hunza,Gilgit-Baltistan,Camping Site,Hiking; Camping; Photography; Stargazing,500 PKR,4,friends; adventurous; relaxed; peaceful; romantic; meditative,4.5
96,Ayun Village (Upper Hunza),A quiet village with traditional stone houses and stunning views of the Karakoram range.,36.56,75.0,Hunza,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,4.2
97,Batura Meadow,An alpine meadow at the base of the Batura Wall accessible via trek from Passu.,36.465816,74.894326,Passu,Gilgit-Baltistan,Meadow,Trekking; Hiking; Camping; Photography; Picnicking; Stargazing,500 PKR,4,friends; solo; peaceful; adventurous,4.8
98,Patundas Meadow,A high-altitude meadow above Passu village with panoramic views of Passu and Batura glaciers.,36.47276,74.89443,Passu,Gilgit-Baltistan,Meadow,Hiking; Camping; Photography; Picnicking; Stargazing,500 PKR,4,friends; solo; peaceful; adventurous,4.8
99,Yashkuk Glacier,A glacier near Shimshal offering trekking and mountaineering access to surrounding peaks.,36.437497,75.316678,Shimshal,Gilgit-Baltistan,Glacier,Trekking; Mountaineering; Photography; Ice Hiking,2500 PKR,6,solo; friends; adventurous; energetic,4.9
100,Karimabad Night Sky Viewpoint,A designated dark-sky viewpoint above Karimabad ideal for stargazing and astrophotography.,36.327056,74.659336,Karimabad,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing; Stargazing,0 PKR,1,family; couple; solo; peaceful; romantic; meditative,4.6
101,Hunza Dry Fruit Market,"A specialty market selling famous Hunza dried apricots, almonds, walnuts, and mulberries.",36.327056,74.659336,Karimabad,Gilgit-Baltistan,Market,Shopping; Food Tasting,500 PKR,2,family; friends; laid-back; festive,4.9
102,Shangrila Resort (Lower Kachura Lake),"A legendary resort built around a turquoise lake in a heart shape, often called 'Heaven on Earth'.",35.286372,75.640075,Skardu,Gilgit-Baltistan,Lake,Photography; Sightseeing; Boating; Picnicking; Dining,1000 PKR,3,family; couple; romantic; relaxed; peaceful,4.1
103,Upper Kachura Lake,"A pristine alpine lake with crystal-clear turquoise water surrounded by rocky cliffs, accessible by a short trek.",0.000000,0.000000,Skardu,Gilgit-Baltistan,Lake,Trekking; Photography; Boating; Swimming; Picnicking,1000 PKR,2.5,family; couple; friends; relaxed; peaceful,4.8
104,Skardu Fort (Kharpocho),A 16th-century fort on a rocky ridge overlooking the Skardu Valley and Indus River.,35.304113,75.63986,Skardu,Gilgit-Baltistan,Fort,Hiking; Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; cultural; educational,4.4
105,Satpara Lake,A natural lake near Skardu town serving as a water reservoir with beautiful mountain reflections.,35.228571,75.629993,Skardu,Gilgit-Baltistan,Lake,Photography; Sightseeing; Boating; Picnicking,1000 PKR,2.5,family; couple; friends; relaxed; peaceful,4.3
106,Deosai National Park,"The second highest plateau in the world at 4114m, home to the Himalayan brown bear and wildflowers.",34.970467,75.471670,Skardu,Gilgit-Baltistan,Park,Hiking; Camping; Photography; Jeep Safari; Wildlife Watching; Picnicking; Stargazing,3000 PKR,8,family; friends; adventurous; peaceful; meditative,4.8
107,Sheosar Lake,A stunning deep blue lake in the Deosai Plains surrounded by vast grasslands and snow-capped peaks.,0.000000,0.000000,Skardu,Gilgit-Baltistan,Lake,Hiking; Camping; Photography; Wildlife Watching,500 PKR,3,friends; solo; peaceful; meditative; adventurous,4.7
108,Manthoka Waterfall,A multi-tiered waterfall cascading 55 meters down rocky cliffs near Skardu.,35.286372,75.640075,Skardu,Gilgit-Baltistan,Waterfall,Hiking; Photography; Swimming; Picnicking,0 PKR,1,family; couple; friends; peaceful; romantic,4.5
